Filesystem	Size	Used
udev	378G	0
tmpfs	76G	7.7M
/dev/md1	4.9G	81M
/dev/md4	20G	12G
tmpfs	378G	7.0G
tmpfs	5.0M	0
tmpfs	378G	0
/dev/md0	988M	217M
/dev/md6	988M	772M
/dev/md7	25G	6.5G
/dev/md2	2.0G	18M
/dev/md5	4.9G	817M
/dev/md3	16G	6.9G
/dev/md8	3.5T	50G
/dev/loop0	128K	128K
/dev/loop4	64M	64M
/dev/loop6	92M	92M
/dev/loop7	92M	92M
/dev/loop8	517M	517M
/dev/loop9	50M	50M
/dev/loop10	51M	51M
/dev/loop11	68M	68M
/dev/loop13	69M	69M
/dev/loop14	92M	92M
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
/dev/loop18	74M	74M
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/adakhnovets/92af1755-30ca-4a6c-b6c7-52ae86c93da7	304G	258G
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	36K
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	684K
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	4.0K
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	0
tmpfs	76G	4.0K
